[[894  18  15  10   5   3   4   7  24  20]
 [ 18 899   3   3   2   2   2   0  18  53]
 [ 95   4 638  44  54  63  72  18   8   4]
 [ 36  10  75 598  31 144  66  15  10  15]
 [ 30   1  53  53 753  29  36  36   4   5]
 [ 17   0  34 157  39 699  22  28   2   2]
 [ 10   3  44  42  14  16 857   5   7   2]
 [ 14   4  23  28  48  55   5 816   1   6]
 [ 99  22   4   3   1   2   5   3 837  24]
 [ 40  76   4   9   1   1   2   6  14 847]]
