[[786  14  47  25  22   2  13  12  60  19]
 [  7 894   4   4   3   5  18   1  17  47]
 [ 60   4 618  54  89  61  69  22  16   7]
 [ 32   4  57 581  60 105  91  38  19  13]
 [ 12   4  51  66 755  17  55  29  10   1]
 [ 10   2  52 154  42 654  35  39  10   2]
 [  9   5  32  53  14  13 852   2  17   3]
 [  9   3  28  45  54  48   5 795   4   9]
 [ 35  19  14  14   2   3  10   4 883  16]
 [ 17  62   9  15   8   4  14  10  25 836]]
