[[718  34  64  16  29   8  16  22  71  22]
 [  5 901   2   7   3   3   9   3  26  41]
 [ 58   6 551  63 122  83  61  36  12   8]
 [ 26  10  57 451  96 180  93  51  21  15]
 [ 15   3  41  53 723  18  66  68  11   2]
 [ 10   4  37 128  62 647  30  71   6   5]
 [ 11   6  27  55  31  18 828   7  14   3]
 [ 10   3  19  25  46  60  13 806   5  13]
 [ 49  37  14   8   8   2  10   4 845  23]
 [ 23  70   7   8   4   2  13  15  40 818]]
