[[830  15  34   9  13   3   7  10  42  37]
 [  9 922   2   3   2   0   8   3  10  41]
 [ 43   4 757  39  50  25  40  25   6  11]
 [ 19   0  54 683  50  90  46  33  12  13]
 [  9   0  37  26 831  18  32  41   5   1]
 [ 12   2  40 147  35 696  16  48   0   4]
 [  8   2  22  29  20   2 904   8   0   5]
 [  7   0  18  17  36  22   7 886   2   5]
 [ 60  19  11   5   5   3   1   5 858  33]
 [ 16  51   7   3   3   0   8   7  15 890]]
