[[870  12  31  13  15   7   4   5  31  12]
 [  2 945   1   3   3   1   1   0  11  33]
 [ 29   2 759  57  57  48  33   8   5   2]
 [ 15   4  25 734  37 114  44  14   2  11]
 [ 10   3  27  40 848  23  28  17   4   0]
 [  2   0   8 116  22 830   7   9   3   3]
 [ 14   2  13  33  13   9 907   2   6   1]
 [  6   1   7  29  20  44   3 884   3   3]
 [ 37  11   9   5   2   2   6   0 920   8]
 [ 10  36   3   6   1   2   5   5  13 919]]
