[[908   7  16   9  11   1   6   4  32   6]
 [  5 949   1   4   2   2   4   0  10  23]
 [ 37   0 818  28  43  26  28  12   7   1]
 [ 13   1  29 781  37  80  33  15   8   3]
 [  9   0  31  27 894  11  13  10   5   0]
 [  5   2  15 104  25 818  10  20   1   0]
 [  8   0  22  23  13   8 917   6   2   1]
 [  9   0   5  22  28  20   0 915   0   1]
 [ 35   3   3   2   1   1   2   4 942   7]
 [ 13  35   5  11   2   1   5   3  17 908]]
