[[884   7  16  14   8   0   4   6  48  13]
 [ 12 930   2   2   0   1   4   0  14  35]
 [ 28   0 817  39  44  19  24  19   7   3]
 [ 17   4  31 749  42 106  29  13   6   3]
 [  3   0  28  32 874  16  22  20   5   0]
 [  6   2  25 104  25 810   6  21   0   1]
 [  7   1  19  37  15   3 911   5   1   1]
 [  7   0  12  20  21  22   2 913   0   3]
 [ 36   7   2   9   1   1   1   3 928  12]
 [ 11  36   2   7   2   3   2   1  19 917]]
