[[814  12  60  15  20   4  10  10  41  14]
 [  2 925   6   2   1   1   9   4  19  31]
 [ 39   3 746  47  46  36  41  34   5   3]
 [ 15   6  63 662  46 118  41  31   8  10]
 [ 16   0  55  52 774  28  22  47   1   5]
 [  7   3  37  98  26 765  19  38   5   2]
 [  8   2  38  43  16  16 856  11   8   2]
 [ 13   0  15  28  20  36   9 872   1   6]
 [ 45  11  11   6   3   2  12   4 889  17]
 [ 21  61   1  11   2   1  15  10  22 856]]
