[[829  14  46  23  13   4   6   9  35  21]
 [ 10 923   3   2   0   3   7   3  13  36]
 [ 39   1 759  41  52  27  38  32   5   6]
 [ 11   4  44 660  49 145  34  33   8  12]
 [  7   0  32  33 844  25  13  42   2   2]
 [  7   0  22 111  26 775   7  45   5   2]
 [  6   0  26  25  19  16 902   3   2   1]
 [ 12   1  16  18  27  49   1 871   2   3]
 [ 65  16   9   7   4   4   4   3 856  32]
 [ 24  28   7   6   1   1   5   5  13 910]]
