[[781  17  52  27  20   4   7   5  51  36]
 [  3 929   5   5   4   1   2   2  16  33]
 [ 52   6 690  69  71  43  37  22   9   1]
 [ 14  12  53 637  61 135  39  22   8  19]
 [ 11   0  36  55 820  20  24  24   6   4]
 [  5   3  41 136  34 738   9  25   4   5]
 [ 10   7  41  54  14  14 844   5   7   4]
 [ 12   2  14  42  46  41   8 823   2  10]
 [ 43  19  19  10   4   1   7   3 866  28]
 [ 13  66   4   8   0   5   6   4  31 863]]
