[[676  27  63  26  37   5  26  17  81  42]
 [ 22 835   2  16   2   3  18   1  43  58]
 [ 87   6 454  83 143  87  86  28  17   9]
 [ 20  11  64 453 114 156 111  35  20  16]
 [ 28   5  33  64 710  23  72  55   8   2]
 [  4   5  55 201  69 580  26  48   5   7]
 [ 12  12  34  85  44  18 772   9  11   3]
 [ 13   6  34  50  79  92  23 675   5  23]
 [ 74  37  11  29   9   1  15   3 792  29]
 [ 23  74   6  17   8   3  23  10  37 799]]
