[[794  13  38  11   8   3   7  13  82  31]
 [ 10 895   1   6   1   3   5   1  20  58]
 [ 47   1 740  50  41  40  46  14  11  10]
 [ 16   3  48 689  42 123  33  27  12   7]
 [  9   1  50  40 790  21  33  46   6   4]
 [  7   1  45 120  27 736  12  44   3   5]
 [  4   1  35  48  16  10 873   7   5   1]
 [  7   3  31  38  20  41   2 845   6   7]
 [ 38  11  10   8   6   2   3   2 903  17]
 [ 22  38   6   5   3   1   6   3  27 889]]
