[[885   2  25  10   7   1   3   8  43  16]
 [  8 928   0   3   2   1   4   2  12  40]
 [ 51   0 768  36  38  44  37  18   7   1]
 [ 21   2  33 736  42  99  34  23   5   5]
 [  7   0  38  24 868  18  16  26   3   0]
 [  6   1  24 112  23 786  13  30   2   3]
 [ 11   2  14  32  14  13 907   4   2   1]
 [  8   1  10  24  22  22   2 908   1   2]
 [ 33  10   7   6   0   1   2   1 926  14]
 [ 18  45   2   5   1   1   3   5  18 902]]
