[[898   8  22  14   4   3   1   6  27  17]
 [  9 932   2   2   1   0   4   3  14  33]
 [ 48   2 776  41  40  39  25  17   9   3]
 [ 17   5  40 735  31 109  30  15   6  12]
 [ 14   0  31  38 842  24  17  25   8   1]
 [  8   5  24 119  18 797   6  18   2   3]
 [  5   1  33  36  11  15 894   3   1   1]
 [ 10   1  16  23  39  54   4 849   0   4]
 [ 58   5   9   9   4   2   3   0 888  22]
 [ 15  40   5   4   1   4   7   1  24 899]]
