[[894  12  13   6  10   2   4   4  36  19]
 [  7 940   1   3   0   1   1   0   4  43]
 [ 41   0 811  36  41  25  25  10   6   5]
 [ 14   6  36 742  32  98  35  17  11   9]
 [  4   2  24  34 889  12  10  19   4   2]
 [  8   2   9 103  25 825  10  15   1   2]
 [  5   2  19  23  10   8 929   3   1   0]
 [  8   0  15  22  21  25   0 903   2   4]
 [ 31  24   4   5   1   1   1   3 915  15]
 [ 12  39   0   4   0   0   1   3  10 931]]
