[[871   8  34   6   8   1   2  12  46  12]
 [  2 956   1   1   0   2   2   0   7  29]
 [ 25   1 793  46  51  31  28  15   9   1]
 [ 22   7  37 748  33  77  37  26   4   9]
 [  8   2  44  35 847  19  22  20   2   1]
 [  4   3  32 111  26 788   9  21   4   2]
 [  7   4  19  39  11   9 896   9   5   1]
 [ 13   1  10  29  16  14   2 909   2   4]
 [ 18  20   5   7   5   1   3   1 927  13]
 [  7  38   4   6   0   2   5   3  13 922]]
