[[838   4  42  17  17   2   7   8  52  13]
 [  8 932   2   3   1   2   8   0  13  31]
 [ 26   2 779  34  61  39  41  12   5   1]
 [ 15   3  56 673  53 108  53  28   7   4]
 [  4   1  48  40 841  14  22  27   2   1]
 [  8   0  39 116  24 763  15  30   1   4]
 [ 10   0  35  29  15  13 888   5   4   1]
 [  6   0  23  19  29  15   3 901   1   3]
 [ 41  11  13   6   4   1   9   3 903   9]
 [ 18  36   3  10   4   5   4  10  21 889]]
