[[784  12  60  20  27   6  16   3  47  25]
 [  7 904   4   2   4   5  11   0  20  43]
 [ 56   1 644  61  73  64  69  19   8   5]
 [ 25   2  51 609  65 143  66  13  13  13]
 [ 14   1  41  49 799  24  40  25   7   0]
 [  8   3  35 149  41 713  17  28   3   3]
 [  7   2  23  37  15  19 878   6  10   3]
 [ 13   1  20  45  49  47  15 797   1  12]
 [ 50  16   9  12   7   2  11   0 880  13]
 [ 20  50   4  16   3   1  12   4  37 853]]
