[[846   7  42  12  23   8  11   4  32  15]
 [  3 946   0   6   1   1   2   1   6  34]
 [ 23   1 805  40  57  30  33   3   6   2]
 [ 19   2  48 695  42 116  47  20   3   8]
 [  0   2  49  38 849  16  23  19   4   0]
 [  3   0  34  84  30 818  13  13   3   2]
 [  8   0  23  30  15  12 904   3   1   4]
 [  5   1  19  21  27  34   4 886   1   2]
 [ 36  13   6  11   2   2   1   1 907  21]
 [  9  40   3  10   1   2   3   6  15 911]]
