[[821  15  33  18   8   2   6   7  66  24]
 [ 13 891   2   1   1   6   8   2  25  51]
 [ 63   2 709  43  44  47  49  23  16   4]
 [ 19   3  62 631  43 140  50  23  17  12]
 [ 16   1  40  27 817  20  37  29  10   3]
 [ 15   1  27 117  21 765  16  33   2   3]
 [  6   0  25  35  15  16 893   4   5   1]
 [ 13   0  28  21  40  42   7 840   5   4]
 [ 44   9   4   9   1   1   5   0 918   9]
 [ 20  42   8   6   1   2   6   6  33 876]]
