[[706  45  61  19  20   0  11  21  80  37]
 [ 15 858   3   7   3   3  20   3  25  63]
 [ 82   7 500  63  96  89 106  34  14   9]
 [ 27   9  63 449  53 176 153  38  13  19]
 [ 31   4  49  69 611  25 115  85   8   3]
 [  6   7  54 200  40 586  40  58   5   4]
 [  5   5  43  49  39  14 836   5   4   0]
 [ 18   9  44  39  52  79  20 722   1  16]
 [ 99  47  14  22   6   2  11   4 740  55]
 [ 14  68   8  11   5   1  13  20  40 820]]
