[[870  11  38   7   8   0   3   2  43  18]
 [  8 944   4   3   1   2   3   1  10  24]
 [ 26   6 855  32  27  18  17  10   5   4]
 [ 13   1  43 742  29 107  33  18   4  10]
 [  6   0  43  20 870  17  23  12   5   4]
 [  3   3  38  76  24 826   6  19   3   2]
 [  1   2  22  30  15  10 913   2   3   2]
 [ 11   2  20  19  25  31   3 884   3   2]
 [ 30  11  16   2   0   2   5   0 915  19]
 [ 14  38   7   3   2   0   4   2  19 911]]
