[[872   5  29   9  15   4   7   9  35  15]
 [  5 937   2   0   1   1   3   1  15  35]
 [ 41   1 741  53  56  42  45  14   6   1]
 [ 18   2  42 688  38 120  51  27   4  10]
 [  8   1  35  35 848  23  24  23   3   0]
 [  6   1  22 101  27 808  14  19   2   0]
 [ 11   4  20  38  14  13 891   3   3   3]
 [  8   1   9  27  28  37   5 880   2   3]
 [ 29  15   5   9   3   1  10   0 915  13]
 [ 15  32   3   4   3   2   7   5  19 910]]
