[[890   4  25  11  15   3   6   8  27  11]
 [  7 920   4   4   2   0   6   0  10  47]
 [ 30   0 762  32  77  33  44  14   5   3]
 [ 22   6  40 682  53  91  62  24   8  12]
 [ 10   0  28  28 847  21  35  24   4   3]
 [  6   2  33  88  28 802  14  18   5   4]
 [  9   2  15  32  16  12 900   7   4   3]
 [ 10   0  10  24  27  22   3 900   1   3]
 [ 55  11  11   5   2   2   5   2 892  15]
 [ 12  27   1   3   2   0   6   3  12 934]]
