[[801  13  46  10  10   5   5  10  64  36]
 [ 14 885   2   1   1   2   6   1  26  62]
 [ 64   2 664  33  59  60  62  25  19  12]
 [ 28   7  71 470  40 223  72  43  18  28]
 [ 13   3  62  48 721  38  45  48  15   7]
 [ 12   4  44  98  36 718  15  59   3  11]
 [  7   5  50  48  24  21 836   3   6   0]
 [ 11   2  25  31  32  67   6 798   0  28]
 [ 54  18   5   8   3   4   5   1 874  28]
 [ 26  35   6   8   2   1   7   3  28 884]]
