[[900   7  13  16  10   2   5   7  27  13]
 [ 15 935   2   4   0   1   2   1  13  27]
 [ 52   2 781  40  39  34  32  13   5   2]
 [ 22   3  30 736  32 113  41  15   4   4]
 [ 12   2  35  33 858  18  19  19   4   0]
 [  7   1  21 129  27 780  13  21   0   1]
 [  5   1  26  34  11   6 914   0   2   1]
 [  8   2  17  27  29  27   3 885   0   2]
 [ 63   9   2  11   0   1   3   4 895  12]
 [ 19  46   4   6   0   0   4   5  14 902]]
