[[831  12  35  12  15   1   9   4  47  34]
 [ 15 898   3   3   1   3   5   2  14  56]
 [ 58   4 733  38  46  44  43  20   9   5]
 [ 17   3  50 573  49 201  48  27  14  18]
 [ 12   1  55  27 801  29  31  38   5   1]
 [ 10   1  39  83  29 771  16  41   4   6]
 [  5   2  33  32  18  13 888   2   5   2]
 [ 16   1  23  21  31  43   9 847   0   9]
 [ 50  20   7   6   4   2   3   2 886  20]
 [ 22  36   9   8   0   0   6   7  19 893]]
